sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,nelx,nely,nu,save_every,scale_factor,tol_change,tol_obj,void_size_frac,volfrac,window_size
124,cross_rectangular,auxetic,True,0.09538953309944097,0.09538953309944,80.50450437315676,44,True,8.14,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.379142,0.568616,20
125,cross_rectangular,auxetic,True,0.13427255300219415,0.1342725530021898,74.66510792620761,69,True,12.68,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.350964,0.54421,20
126,cross_rectangular,auxetic,True,0.2265103476657017,0.22651034766570702,55.71633745770127,34,True,6.58,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.269329,0.461142,20
127,cross_rectangular,auxetic,True,0.12965558970451743,0.12965558970451693,34.485651045564396,37,True,6.95,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.185444,0.388947,20
128,cross_rectangular,auxetic,True,0.11748620751887669,0.11748620751887269,35.25027071446789,38,True,7.31,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.106112,0.393901,20
129,cross_rectangular,auxetic,True,0.20903707821184242,0.20912646213372793,142.7422710084176,150,True,27.07,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.191017,0.645269,20
130,cross_rectangular,auxetic,True,0.09252709004853298,0.09252709004853253,88.93438712095647,58,True,10.57,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.372856,0.590595,20
131,cross_rectangular,auxetic,True,0.2109001621112362,0.21090016211123566,80.71570141061557,33,True,6.32,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.278254,0.538442,20
132,cross_rectangular,auxetic,True,0.2545301526654003,0.2545301526654042,23.444956303689835,35,True,6.68,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.256222,0.30888,20
133,cross_rectangular,auxetic,True,0.15185607001855386,0.15185607001854823,21.349721297506562,35,True,6.71,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.392964,0.304221,20
134,cross_rectangular,auxetic,True,0.18760098220216725,0.18760098220216834,38.931287203245034,45,True,8.61,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.290068,0.400973,20
135,cross_rectangular,auxetic,True,0.13126226132595828,0.13126226132596006,77.06591236530969,46,True,8.61,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.332874,0.550379,20
136,cross_rectangular,auxetic,True,0.3049534202737147,0.30495342027371924,26.673983383582833,36,True,6.57,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.225158,0.321727,20
137,cross_rectangular,auxetic,True,0.25280325670297404,0.2528032567029763,72.96837379308171,53,True,9.7,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.212869,0.506581,20
138,cross_rectangular,auxetic,True,0.1455251193635362,0.14552511936352813,120.12779487381063,33,True,6.23,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.301718,0.637445,20
139,cross_rectangular,auxetic,True,0.2466050477337724,0.24660504773377076,33.70205789943949,35,True,6.58,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.143932,0.362067,20
140,cross_rectangular,auxetic,True,0.27435452211230016,0.27435452211228706,45.454503944689414,43,True,8.44,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.23091,0.40846,20
141,cross_rectangular,auxetic,True,0.11698097850551877,0.11679055813093822,162.96704442339376,150,True,27.19,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.165213,0.692748,20
142,cross_rectangular,auxetic,True,0.3263893861198329,0.3263893861198343,65.47525228505413,31,True,5.79,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.196063,0.468354,20
143,cross_rectangular,auxetic,True,0.1787340035375813,0.17873400353758342,56.98910316754822,70,True,13.35,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.318632,0.474103,20
144,cross_rectangular,auxetic,True,0.230977947916968,0.23097794791697165,27.837831519208635,51,True,9.5,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.259554,0.340584,20
145,cross_rectangular,auxetic,True,0.40607886955850814,0.4060788695585203,59.50677112112773,33,True,6.24,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.127952,0.430783,20
146,cross_rectangular,auxetic,True,0.3241932943306544,0.3241932943306655,61.99597901483547,31,True,5.87,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.178089,0.456004,20
147,cross_rectangular,auxetic,True,0.19931037123236608,0.19931037123236306,29.434920436348804,54,True,9.93,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.245848,0.353999,20
148,cross_rectangular,auxetic,True,0.1401789426861714,0.14017894268616532,62.09763563072124,41,True,7.55,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.321801,0.503405,20
149,cross_rectangular,auxetic,True,0.18411156164383943,0.18859292973014702,147.95375409718505,150,True,28.31,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.145347,0.683914,20
150,cross_rectangular,auxetic,True,0.2344265283177672,0.2344265283177616,32.18246828890898,54,True,10.14,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.233891,0.359638,20
151,cross_rectangular,auxetic,True,0.2638066949898163,0.25571238810840513,110.34511539406874,150,True,27.16,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.151052,0.578275,20
152,cross_rectangular,auxetic,True,0.312161902521688,0.31216190252170123,110.8839316628009,32,True,5.78,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.170735,0.584075,20
153,cross_rectangular,auxetic,True,0.12715857770730116,0.12715857770730124,40.86368968119623,51,True,9.38,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.369626,0.423719,20
154,cross_rectangular,auxetic,True,0.22382822768866178,0.2213152980960078,121.59411030414316,150,True,28.4,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.139928,0.605997,20
155,cross_rectangular,auxetic,True,0.21334681531944982,0.2133468153194454,73.1052652598332,32,True,5.78,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.252327,0.515759,20
156,cross_rectangular,auxetic,True,0.12493704475852588,0.12493704475852373,85.49997666611004,40,True,7.46,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.326925,0.573116,20
157,cross_rectangular,auxetic,True,0.22271757546589108,0.2227175754658907,65.29792372648635,42,True,7.72,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.262698,0.493767,20
158,cross_rectangular,auxetic,True,0.13135267369637393,0.13135267369636908,71.8078539522709,38,True,7.11,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.336821,0.534658,20
159,cross_rectangular,auxetic,True,0.23652776333467784,0.2365277633346745,39.158884919917384,42,True,7.84,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.249142,0.397289,20
160,hexagonal,auxetic,True,0.14448816266410192,0.14315372504224702,50.63983055857458,39,True,7.35,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.37899,0.463343,20
161,hexagonal,auxetic,True,0.188579688400241,0.17942516518782473,146.29271587763498,150,True,27.0,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.259959,0.659722,20
162,hexagonal,auxetic,True,0.3267794583905023,0.3225095033086235,25.472406644716855,51,True,9.56,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.199539,0.306741,20
163,hexagonal,auxetic,True,0.2693697827357796,0.2753844093300847,118.45444501245072,150,True,26.57,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.21193,0.591718,20
164,hexagonal,auxetic,True,0.44973764562422924,0.44973764562422225,34.57172759237332,34,True,6.28,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.107855,0.331061,20
165,hexagonal,auxetic,True,0.371085969094833,0.375315489422733,63.38352923720155,31,True,5.75,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.171248,0.45097,20
166,hexagonal,auxetic,True,0.19643536965939795,0.19667790571485053,35.643526979578766,40,True,7.51,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.2856,0.381933,20
167,hexagonal,auxetic,True,0.16929771594584142,0.1692743286921979,28.07796264422982,49,True,9.07,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.330556,0.350166,20
168,hexagonal,auxetic,True,0.359900919595151,0.35627161803909946,84.27901706893655,31,True,5.68,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.153095,0.508106,20
169,hexagonal,auxetic,True,0.21637919373339728,0.21952559691248905,47.031960323462464,38,True,7.2,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.319133,0.431371,20
170,hexagonal,auxetic,True,0.20680085268814433,0.20610494867785514,120.72432663457468,150,True,28.25,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.158658,0.612376,20
171,hexagonal,auxetic,True,0.15570020390647157,0.15709649008286047,74.14878916151864,61,True,11.21,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.353395,0.534313,20
172,hexagonal,auxetic,True,0.18229601261713305,0.18229348413595406,25.908562771899497,68,True,12.32,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.333616,0.336498,20
173,hexagonal,auxetic,True,0.1874663788261702,0.1873718410614798,127.51032362058618,150,True,28.11,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.115486,0.627696,20
174,hexagonal,auxetic,True,0.24177845921468996,0.22430902982726839,127.48282094665926,150,True,27.45,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.213265,0.617506,20
175,hexagonal,auxetic,True,0.23181144686616736,0.2316664967136302,31.87750896841822,35,True,6.53,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.256973,0.359414,20
176,hexagonal,auxetic,True,0.28804519789351013,0.29643492174283537,95.58484004589062,32,True,5.9,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.224982,0.554437,20
177,hexagonal,auxetic,True,0.26548072366041287,0.2652992478806444,26.220668363088237,46,True,8.64,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.269784,0.326799,20
178,hexagonal,auxetic,True,0.15038347880729927,0.15040627163829523,34.08302105287788,41,True,7.89,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.135011,0.377813,20
179,hexagonal,auxetic,True,0.14601674329506564,0.1449481144166527,56.15036519907605,38,True,7.12,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.376213,0.483058,20
180,hexagonal,auxetic,True,0.14290872509691468,0.14612221566422118,91.11140577730652,34,True,6.4,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.360926,0.580619,20
181,hexagonal,auxetic,True,0.39383909945045487,0.39025805938328706,53.65924501250316,33,True,6.56,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.149851,0.416304,20
182,hexagonal,auxetic,True,0.17659913898567162,0.17544201178548455,146.94240881591233,150,True,28.94,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.119411,0.690958,20
