batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac
1,circle_half_quarter,143,outputs/multi_batch/batch_1/circle_half_quarter/sample_0143/iteration_00150.png,0.0793684380488876,0.0793684380489283,0.391733,1.6785181536604248,True,0.568697,4.667685,1.746103,0.078107,0.472305,5,False,False,0.35791015625
1,circle_half_quarter,144,outputs/multi_batch/batch_1/circle_half_quarter/sample_0144/iteration_00150.png,0.0809756658930755,0.0809756658931283,0.323096,1.768128468329563,True,0.589417,2.835275,2.26526,0.095803,0.483956,5,False,False,0.30859375
1,circle_half_quarter,157,outputs/multi_batch/batch_1/circle_half_quarter/sample_0157/iteration_00150.png,0.009464381832141,0.0094643818321702,0.135476,1.9899044210070649,True,0.593512,3.880045,2.148299,0.248538,0.527107,16,False,False,0.09521484375
1,circle_half_quarter,160,outputs/multi_batch/batch_1/circle_half_quarter/sample_0160/iteration_00150.png,-0.1162579472519043,-0.1162579472521582,0.308579,1.836364605912179,True,0.638993,3.196595,1.102279,0.079784,0.533171,6,False,False,0.30810546875
1,circle_half_quarter,168,outputs/multi_batch/batch_1/circle_half_quarter/sample_0168/iteration_00150.png,-0.3404931854081689,-0.3378773176667244,0.570199,0.6304020668758449,True,0.571101,3.120344,2.00221,0.064892,0.262729,2,False,False,0.569091796875
1,circle_half_quarter,171,outputs/multi_batch/batch_1/circle_half_quarter/sample_0171/iteration_00150.png,0.2140152001346617,0.2140152001347986,0.32195,1.8508622027399808,True,0.458297,4.524432,1.567148,0.106562,0.512776,5,False,False,0.296630859375
1,circle_half_quarter,182,outputs/multi_batch/batch_1/circle_half_quarter/sample_0182/iteration_00150.png,0.111054554305264,0.1110545543054167,0.136414,1.965656918528416,True,0.538918,2.200374,2.044578,0.162773,0.547552,16,False,False,0.1005859375
1,circle_half_quarter,183,outputs/multi_batch/batch_1/circle_half_quarter/sample_0183/iteration_00150.png,-0.3418104541846295,-0.2923272643789405,0.334659,1.5436628909957848,True,0.586021,4.946941,1.021572,0.058073,0.382184,7,False,False,0.33203125
1,circle_half_quarter,184,outputs/multi_batch/batch_1/circle_half_quarter/sample_0184/iteration_00150.png,0.0554749849813726,0.0554749849814124,0.328639,1.7826871920038476,True,0.659674,2.495126,2.106629,0.057267,0.489555,3,False,False,0.32470703125
1,circle_half_quarter,191,outputs/multi_batch/batch_1/circle_half_quarter/sample_0191/iteration_00150.png,0.0936938825635423,0.0936938825636937,0.10981,1.9988231275812367,True,0.673018,4.832919,2.482907,0.093078,0.548863,16,False,False,0.04296875
1,circle_half_quarter,194,outputs/multi_batch/batch_1/circle_half_quarter/sample_0194/iteration_00150.png,0.1018942313898662,0.1018942313899544,0.257423,1.884532616836121,True,0.628883,2.65388,1.27888,0.236806,0.515809,5,False,False,0.248291015625
1,circle_half_quarter,201,outputs/multi_batch/batch_1/circle_half_quarter/sample_0201/iteration_00150.png,0.0981141186923573,0.098114118692469,0.226731,1.956464572320624,True,0.573858,3.578882,1.551692,0.15109,0.535119,7,False,False,0.217529296875
1,circle_half_quarter,202,outputs/multi_batch/batch_1/circle_half_quarter/sample_0202/iteration_00150.png,0.0969947787181892,0.0969947787188607,0.455939,1.1557126181692523,True,0.46042,2.16747,1.878355,0.220352,0.280093,13,False,False,0.4638671875
1,circle_half_quarter,209,outputs/multi_batch/batch_1/circle_half_quarter/sample_0209/iteration_00150.png,0.0666533531007239,0.0666533531007664,0.398718,1.768996551208482,True,0.633068,4.925646,2.073961,0.179935,0.468217,5,False,False,0.389404296875
1,circle_half_quarter,211,outputs/multi_batch/batch_1/circle_half_quarter/sample_0211/iteration_00150.png,0.2194015044547808,0.2194015044549132,0.28644,1.900828376068865,True,0.480568,3.818931,2.203435,0.13063,0.510103,5,False,False,0.252197265625
1,circle_half_quarter,213,outputs/multi_batch/batch_1/circle_half_quarter/sample_0213/iteration_00150.png,0.028077448328088,0.0280774483280997,0.501308,1.4974077032444175,True,0.697937,3.999916,1.358941,0.202607,0.36687,5,False,False,0.3828125
1,circle_half_quarter,221,outputs/multi_batch/batch_1/circle_half_quarter/sample_0221/iteration_00150.png,0.1408965164350158,0.1408965164350178,0.565467,1.5040734916887597,True,0.566233,4.870295,1.109386,0.244426,0.283719,9,False,False,0.63427734375
