batch,seed,v12,v21,volfrac,penal,rmin,move,void_size_frac,volfrac_achieved,converged,is_connected,min_feature_ok,manufacturable,periodic_ok,passes_all
1,circle_half_quarter,0.0821832099580743,0.0821832099581087,0.503527,4.285094,2.088771,0.09943,0.413718,0.5003,True,True,True,True,True,True
1,circle_half_quarter,-0.1162579472519043,-0.1162579472521582,0.638993,3.196595,1.102279,0.079784,0.533171,0.308579,True,False,False,False,True,False
1,circle_half_quarter,0.1122917734755686,0.1122917734756104,0.467346,3.646385,1.941082,0.196935,0.395904,0.459312,True,True,True,True,True,True
1,circle_half_quarter,0.1296220501981796,0.1296220501982278,0.54935,2.053311,1.629067,0.230842,0.426228,0.396961,True,True,True,True,True,True
1,circle_half_quarter,0.143466406063974,0.1434664060641027,0.627706,4.799923,2.281476,0.148018,0.281949,0.627281,True,True,True,True,True,True
1,circle_half_quarter,-0.2354736098280202,-0.2512123202519373,0.581906,2.621981,1.911062,0.10242,0.297091,0.581906,True,True,True,True,True,True
1,circle_half_quarter,0.0926757308816409,0.0926757308816834,0.535289,4.618532,1.249486,0.219595,0.443421,0.435992,True,True,True,True,True,True
1,circle_half_quarter,0.1049810334825939,0.1049810334826491,0.484337,3.025571,2.320283,0.151945,0.343665,0.479831,True,True,True,True,True,True
1,circle_half_quarter,0.0440889022223009,0.0440889022223241,0.687722,4.225196,1.47307,0.069095,0.478294,0.304848,True,True,True,True,True,True
1,circle_half_quarter,-0.3404931854081689,-0.3378773176667244,0.571101,3.120344,2.00221,0.064892,0.262729,0.570199,True,False,True,False,True,False
1,circle_half_quarter,0.0623522711908317,0.0623522711908553,0.618234,4.132612,1.15756,0.157043,0.409368,0.525468,True,True,True,True,True,True
1,circle_half_quarter,0.1255021717112732,0.1255021717113203,0.661161,2.715341,2.225428,0.214386,0.377874,0.474735,True,True,True,True,True,True
1,circle_half_quarter,0.2140152001346617,0.2140152001347986,0.458297,4.524432,1.567148,0.106562,0.512776,0.32195,True,False,True,False,True,False
1,circle_half_quarter,0.1959990387893142,0.195999038789433,0.507209,2.147454,1.193439,0.142214,0.497634,0.18029,True,True,True,True,True,True
1,circle_half_quarter,-0.120388219154582,-0.1203882191546704,0.679311,4.706527,1.849144,0.234389,0.360682,0.623736,True,True,True,True,False,False
1,circle_half_quarter,0.0434441253247688,0.0434441253247924,0.604967,3.289326,1.5342,0.193303,0.461607,0.33486,True,True,True,True,True,True
1,circle_half_quarter,-0.3220537874891687,-0.2724886419665973,0.527072,3.551472,2.375565,0.085453,0.317605,0.527072,True,True,True,True,False,False
1,circle_half_quarter,-0.1805727901513288,-0.1805727901514353,0.631287,2.38117,1.389074,0.090808,0.329284,0.594873,True,True,True,True,False,False
1,circle_half_quarter,0.0860133347578744,0.0860133347579468,0.553421,4.377767,2.427083,0.186108,0.492016,0.386413,True,True,True,True,True,True
1,circle_half_quarter,-0.3159691180246455,-0.3284011368669192,0.478901,2.77446,1.329913,0.241693,0.292654,0.478901,True,True,True,True,False,False
1,circle_half_quarter,0.0644498204875993,0.0644498204876339,0.651035,3.974223,1.806552,0.136969,0.448373,0.353354,True,True,True,True,True,True
1,circle_half_quarter,0.0641410686853744,0.0641410686854006,0.69923,3.353958,2.174407,0.113466,0.430666,0.453384,True,True,True,True,True,True
1,circle_half_quarter,-0.3985026056041802,-0.3827167458905645,0.496335,3.803611,1.712062,0.208742,0.276998,0.496335,True,True,True,True,False,False
1,circle_half_quarter,0.111054554305264,0.1110545543054167,0.538918,2.200374,2.044578,0.162773,0.547552,0.136414,True,False,False,False,True,False
1,circle_half_quarter,-0.3418104541846295,-0.2923272643789405,0.586021,4.946941,1.021572,0.058073,0.382184,0.334659,True,False,False,False,False,False
1,circle_half_quarter,0.0554749849813726,0.0554749849814124,0.659674,2.495126,2.106629,0.057267,0.489555,0.328639,True,False,True,False,True,False
1,circle_half_quarter,-0.3380824198765489,-0.4083031811402274,0.456778,4.251555,1.077397,0.165043,0.326508,0.456777,True,True,True,True,True,True
1,circle_half_quarter,0.0508064568853247,0.0508064568853468,0.561877,2.853305,2.165779,0.206374,0.451167,0.327433,True,True,True,True,True,True
1,circle_half_quarter,-0.2468465100878821,-0.2416293275265903,0.60898,3.906559,1.69794,0.114174,0.295169,0.608979,True,True,True,True,True,True
1,circle_half_quarter,-0.40177674438812,-0.3998462334308943,0.590754,3.421598,1.321283,0.134601,0.275669,0.590754,True,True,True,True,False,False
1,circle_half_quarter,0.0533576810791396,0.0533576810791615,0.512888,3.724791,1.792429,0.242401,0.42903,0.426593,True,True,True,True,True,True
1,circle_half_quarter,-0.1379806928468657,-0.1379806928862707,0.500883,2.326654,1.451123,0.185302,0.383764,0.500882,True,True,True,True,False,False
1,circle_half_quarter,0.0936938825635423,0.0936938825636937,0.673018,4.832919,2.482907,0.093078,0.548863,0.10981,True,False,False,False,True,False
1,circle_half_quarter,-0.1226584843239581,-0.1226584843240448,0.46864,3.000336,1.502087,0.086308,0.405936,0.435201,True,True,True,True,True,True
1,circle_half_quarter,-0.3803330242615924,-0.3806371473503149,0.640743,4.241095,2.337959,0.190983,0.259604,0.640744,True,True,True,True,True,True
1,circle_half_quarter,0.1018942313898662,0.1018942313899544,0.628883,2.65388,1.27888,0.236806,0.515809,0.257423,True,False,True,False,True,False
1,circle_half_quarter,-0.0695104475058481,-0.0704876641146995,0.550988,4.597805,1.92836,0.141457,0.381177,0.550989,True,True,True,True,False,False
1,circle_half_quarter,0.0819219791674388,0.0819219791674679,0.533509,2.074148,2.31087,0.108979,0.358527,0.483348,True,True,True,True,True,True
1,circle_half_quarter,0.0844840920206945,0.0844840920207704,0.580642,4.767919,1.646365,0.213629,0.495795,0.325367,True,True,True,True,True,True
